person_id,person_name,election_id,ballot_paper_id,election_date,election_current,party_name,party_id,post_label,cancelled_poll,seats_contested,homepage_url
65368,Gareth Mackey,parl.2024-07-04,parl.mid-bedfordshire.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Mid Bedfordshire,f,1,https://focus-on-flitwick.my.canva.site/
115945,Maahwish Mirza,parl.2024-07-04,parl.mid-bedfordshire.2024-07-04,2024-07-04,f,Labour Party,PP53,Mid Bedfordshire,f,1,https://www.maahwishmirza.com/
78993,Carissma Griffiths,parl.2024-07-04,parl.mid-buckinghamshire.2024-07-04,2024-07-04,f,Labour Party,PP53,Mid Buckinghamshire,f,1,https://midbuckinghamshire.laboursites.org
114302,Helen Clawson,parl.2024-07-04,parl.mid-cheshire.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Mid Cheshire,f,1,https://helenclawson.org/?fbclid=IwZXh0bgNhZW0CMTEAAR1_ST8LCTW7cPiDmyERRBWR9BVOlMi_IET-_WrNvwrAvA0ktEbQFghcYFY_aem_AZAayrkFcK7lQfI-Rej6HS-rVwn4fWNyFLWEXCuVi0hwUOqdFJubL93dsCwBEcDYt1dJneRrKv8jzHry3-QHXuHa
103759,Jack Price-Harbach,parl.2024-07-04,parl.mid-cheshire.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Mid Cheshire,f,1,https://jackpriceharbach.co.uk/
26224,Barry Holliday,parl.2024-07-04,parl.mid-derbyshire.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Mid Derbyshire,f,1,http://www.barryholliday.org.uk/
73096,Gez Kinsella,parl.2024-07-04,parl.mid-derbyshire.2024-07-04,2024-07-04,f,Green Party,PP63,Mid Derbyshire,f,1,https://ambervalley.greenparty.org.uk/
5541,Andy McDonald,parl.2024-07-04,parl.middlesbrough-and-thornaby-east.2024-07-04,2024-07-04,f,Labour Party,PP53,Middlesbrough and Thornaby East,f,1,https://www.andymcdonaldmp.org/
5258,Simon Clarke,parl.2024-07-04,parl.middlesbrough-south-and-east-cleveland.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Middlesbrough South and East Cleveland,f,1,http://www.simon-clarke.org.uk/
60227,Ben Pantling,parl.2024-07-04,parl.mid-dorset-and-north-poole.2024-07-04,2024-07-04,f,Green Party,PP63,Mid Dorset and North Poole,f,1,https://bcp.greenparty.org.uk/
71416,Amy Callaghan,parl.2024-07-04,parl.mid-dunbartonshire.2024-07-04,2024-07-04,f,Scottish National Party (SNP),PP102,Mid Dunbartonshire,f,1,https://www.amycallaghan.scot
114626,Kirsty McNeill,parl.2024-07-04,parl.midlothian.2024-07-04,2024-07-04,f,Labour and Co-operative Party,joint-party:53-119,Midlothian,f,1,https://kirstymcneill.com
6051,Owen Thompson,parl.2024-07-04,parl.midlothian.2024-07-04,2024-07-04,f,Scottish National Party (SNP),PP102,Midlothian,f,1,https://www.owenthompson.scot
72952,Michael Rosen,parl.2024-07-04,parl.mid-norfolk.2024-07-04,2024-07-04,f,Labour Party,PP53,Mid Norfolk,f,1,https://www.michaelrosenformidnorfolk.com/
34677,Kristy Lyn Adams,parl.2024-07-04,parl.mid-sussex.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Mid Sussex,f,1,http://www.kristyadams.org/
32071,Alison Bennett,parl.2024-07-04,parl.mid-sussex.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Mid Sussex,f,1,https://www.midsussexlibdems.org.uk/
71887,Deanna Nicholson,parl.2024-07-04,parl.mid-sussex.2024-07-04,2024-07-04,f,Green Party,PP63,Mid Sussex,f,1,https://midsussex.greenparty.org.uk/
34141,James Cox,parl.2024-07-04,parl.milton-keynes-central.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Milton Keynes Central,f,1,https://www.mklibdems.co.uk/james-cox
68049,Jane Anne Duckworth,parl.2024-07-04,parl.milton-keynes-north.2024-07-04,2024-07-04,f,Reform UK,PP7931,Milton Keynes North,f,1,https://www.reformparty.uk/milton-keynes-north-constituency
22937,Ian Chandler,parl.2024-07-04,parl.monmouthshire.2024-07-04,2024-07-04,f,Green Party,PP63,Monmouthshire,f,1,https://gwent.greenparty.org.uk/
3827,David Davies,parl.2024-07-04,parl.monmouthshire.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Monmouthshire,f,1,http://www.david-davies.org.uk/
116759,Owen Lewis,parl.2024-07-04,parl.monmouthshire.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Monmouthshire,f,1,https://www.voteowenlewis.com
26984,Jeremy Brignell-Thorp,parl.2024-07-04,parl.montgomeryshire-and-glyndwr.2024-07-04,2024-07-04,f,Green Party,PP63,Montgomeryshire and Glyndŵr,f,1,https://greenparty.org.uk/about/our-manifesto/
26973,Elwyn Vaughan,parl.2024-07-04,parl.montgomeryshire-and-glyndwr.2024-07-04,2024-07-04,f,Plaid Cymru - The Party of Wales,PP77,Montgomeryshire and Glyndŵr,f,1,https://www.partyof.wales/manifesto
115425,Steve Witherden,parl.2024-07-04,parl.montgomeryshire-and-glyndwr.2024-07-04,2024-07-04,f,Labour Party,PP53,Montgomeryshire and Glyndŵr,f,1,https://www.stevewitherden.wales/
85593,Neil Alexander,parl.2024-07-04,parl.moray-west-nairn-and-strathspey.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,"Moray West, Nairn and Strathspey",f,1,https://neilalexmoray.mycouncillor.org.uk/
85602,Draeyk van der Horn,parl.2024-07-04,parl.moray-west-nairn-and-strathspey.2024-07-04,2024-07-04,f,Scottish Green Party,PP130,"Moray West, Nairn and Strathspey",f,1,https://greens.scot
19522,Lizzi Collinge,parl.2024-07-04,parl.morecambe-and-lunesdale.2024-07-04,2024-07-04,f,Labour Party,PP53,Morecambe and Lunesdale,f,1,https://www.lizzicollinge.com
986,Gina Dowding,parl.2024-07-04,parl.morecambe-and-lunesdale.2024-07-04,2024-07-04,f,Green Party,PP63,Morecambe and Lunesdale,f,1,https://ginadowding.org.uk/
6052,Marion Fellows,parl.2024-07-04,parl.motherwell-wishaw-and-carluke.2024-07-04,2024-07-04,f,Scottish National Party (SNP),PP102,"Motherwell, Wishaw and Carluke",f,1,https://www.marionfellows.scot
3580,Donald Boyd,parl.2024-07-04,parl.na-h-eileanan-an-iar.2024-07-04,2024-07-04,f,"Christian Party ""Proclaiming Christ's Lordship""",PP2893,Na h-Eileanan an Iar,f,1,https://donaldboyd.org/
3013,Angus MacNeil,parl.2024-07-04,parl.na-h-eileanan-an-iar.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Na h-Eileanan an Iar,f,1,https://angusmacneilsnp.com/
5787,Carolyn Harris,parl.2024-07-04,parl.neath-and-swansea-east.2024-07-04,2024-07-04,f,Labour Party,PP53,Neath and Swansea East,f,1,http://carolynharris4swanseaeast.co.uk
12624,Andrew John Jenkins,parl.2024-07-04,parl.neath-and-swansea-east.2024-07-04,2024-07-04,f,Plaid Cymru - The Party of Wales,PP77,Neath and Swansea East,f,1,https://www.partyof.wales/manifesto
76347,Adrian Charles Amer,parl.2024-07-04,parl.newark.2024-07-04,2024-07-04,f,Independent Network,PP1951,Newark,f,1,https://www.adrianamer.uk/
5031,Robert Jenrick,parl.2024-07-04,parl.newark.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Newark,f,1,http://www.robertjenrick.com/
68032,Lee Dillon,parl.2024-07-04,parl.newbury.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Newbury,f,1,https://www.leedillon.co.uk/
35189,Steve Masters,parl.2024-07-04,parl.newbury.2024-07-04,2024-07-04,f,Green Party,PP63,Newbury,f,1,http://www.votesteve.uk/
43825,Adam Jogee,parl.2024-07-04,parl.newcastle-under-lyme.2024-07-04,2024-07-04,f,Labour Party,PP53,Newcastle-under-Lyme,f,1,https://newcastleunderlymeborough.laboursites.org/homepage/
37665,Habib Rahman,parl.2024-07-04,parl.newcastle-upon-tyne-central-and-west.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Newcastle upon Tyne Central and West,f,1,https://www.habib-rahman.com/
85834,Yvonne Ridley,parl.2024-07-04,parl.newcastle-upon-tyne-central-and-west.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Newcastle upon Tyne Central and West,f,1,https://yvonneridley.org/
111667,Matt Williams,parl.2024-07-04,parl.newcastle-upon-tyne-east-and-wallsend.2024-07-04,2024-07-04,f,Green Party,PP63,Newcastle upon Tyne East and Wallsend,f,1,https://www.matt4nclew.co.uk/
2098,Catherine McKinnell,parl.2024-07-04,parl.newcastle-upon-tyne-north.2024-07-04,2024-07-04,f,Labour Party,PP53,Newcastle upon Tyne North,f,1,http://www.catherinemckinnell.co.uk
117448,King Teare,parl.2024-07-04,parl.newcastle-upon-tyne-north.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Newcastle upon Tyne North,f,1,https://www.inter-acting.co.uk/kingteare.html
5833,Roy Swales,parl.2024-07-04,parl.new-forest-east.2024-07-04,2024-07-04,f,Reform UK,PP7931,New Forest East,f,1,https://www.reformparty.uk/new-forest-east-constituency
114943,Reginald Chester-Sterne,parl.2024-07-04,parl.new-forest-west.2024-07-04,2024-07-04,f,Reform UK,PP7931,New Forest West,f,1,https://www.reformparty.uk/new-forest-west-constituency
95666,Anna Collar,parl.2024-07-04,parl.new-forest-west.2024-07-04,2024-07-04,f,Green Party,PP63,New Forest West,f,1,https://nfgp.org.uk/candidate-list
20051,Jack Davies,parl.2024-07-04,parl.new-forest-west.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,New Forest West,f,1,https://nflibdems.org.uk/jack-davies
116344,Sally Johnston,parl.2024-07-04,parl.new-forest-west.2024-07-04,2024-07-04,f,Labour Party,PP53,New Forest West,f,1,https://www.nfwlabour.org.uk
3762,Pippa Bartolotti,parl.2024-07-04,parl.newport-east.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,Newport East,f,1,https://pippabartolotti.com/
2752,Jonathan Clark,parl.2024-07-04,parl.newport-east.2024-07-04,2024-07-04,f,Plaid Cymru - The Party of Wales,PP77,Newport East,f,1,https://plaidnewport.blogspot.com
1369,Jessica Morden,parl.2024-07-04,parl.newport-east.2024-07-04,2024-07-04,f,Labour Party,PP53,Newport East,f,1,http://www.jessicamorden.com
4383,Ruth Jones,parl.2024-07-04,parl.newport-west-and-islwyn.2024-07-04,2024-07-04,f,Labour Party,PP53,Newport West and Islwyn,f,1,http://www.ruthjones.wales
106545,Jacob Cousens,parl.2024-07-04,parl.newton-abbot.2024-07-04,2024-07-04,f,Labour Party,PP53,Newton Abbot,f,1,https://newtonabbot.laboursites.org/
1067,Anne Marie Morris,parl.2024-07-04,parl.newton-abbot.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Newton Abbot,f,1,https://www.annemariemorris.co.uk/
106536,Andre Sabine,parl.2024-07-04,parl.newton-abbot.2024-07-04,2024-07-04,f,Heritage Party,PP12550,Newton Abbot,f,1,https://heritageparty.org/manifesto/
26744,Martin Wrigley,parl.2024-07-04,parl.newton-abbot.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,Newton Abbot,f,1,https://martinwrigley.mycouncillor.org.uk/
31326,Paul Howell,parl.2024-07-04,parl.newton-aycliffe-and-spennymoor.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Newton Aycliffe and Spennymoor,f,1,https://www.paulhowell.org.uk/
117111,Alice Hopkin,parl.2024-07-04,parl.normanton-and-hemsworth.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Normanton and Hemsworth,f,1,https://www.alicehopkin.co.uk/
456,Jon Trickett,parl.2024-07-04,parl.normanton-and-hemsworth.2024-07-04,2024-07-04,f,Labour Party,PP53,Normanton and Hemsworth,f,1,http://jontrickett.org.uk
115915,Khalid Razzaq,parl.2024-07-04,parl.northampton-north.2024-07-04,2024-07-04,f,Workers Party of Britain,PP11382,Northampton North,f,1,https://KhalidNN.co.uk
34338,Andrew Iain Lewer,parl.2024-07-04,parl.northampton-south.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,Northampton South,f,1,https://www.andrewlewer.com/
2134,Jim Allister,parl.2024-07-04,parl.north-antrim.2024-07-04,2024-07-04,f,Traditional Unionist Voice - TUV,PP680,North Antrim,f,1,https://www.jimallister.org/
116738,Sarah Farrell,parl.2024-07-04,parl.north-cornwall.2024-07-04,2024-07-04,f,Heritage Party,PP12550,North Cornwall,f,1,https://heritageparty.org/
70771,Robyn Harris,parl.2024-07-04,parl.north-cornwall.2024-07-04,2024-07-04,f,Labour Party,PP53,North Cornwall,f,1,https://www.robynharris.info/
89057,Ben Maguire,parl.2024-07-04,parl.north-cornwall.2024-07-04,2024-07-04,f,Liberal Democrats,PP90,North Cornwall,f,1,https://benmaguire.org.uk/
4213,Scott Mann,parl.2024-07-04,parl.north-cornwall.2024-07-04,2024-07-04,f,Conservative and Unionist Party,PP52,North Cornwall,f,1,https://www.scottmann.org.uk/
108986,Anna Mainwaring,parl.2024-07-04,parl.north-cotswolds.2024-07-04,2024-07-04,f,Labour Party,PP53,North Cotswolds,f,1,https://www.northcotswoldslabour.com
72376,Steve Cotten,parl.2024-07-04,parl.north-devon.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,North Devon,f,1,https://stevecotten.org.uk/
96639,Cas Lay,parl.2024-07-04,parl.north-devon.2024-07-04,2024-07-04,f,Green Party,PP63,North Devon,f,1,https://cassiuslay.co.uk/
117259,Simon Adams,parl.2024-07-04,parl.north-dorset.2024-07-04,2024-07-04,f,Independent,ynmp-party:2,North Dorset,f,1,https://www.vote4si.com
